number,value,datetime_start,datetime_complete,duration,params_attention_reg_weight,params_attn_heads,params_dropout,params_hidden_dim,params_kernel_size,params_low_rank_dim,params_lr,params_num_scales,params_temp_conv_out_channels,params_weight_decay,user_attrs_best_efficiency,user_attrs_best_pcc,user_attrs_best_pcc_epoch,user_attrs_best_rmse,user_attrs_best_rmse_epoch,user_attrs_epochs_trained,user_attrs_final_pcc,user_attrs_final_rmse,user_attrs_param_count,user_attrs_test_pcc,user_attrs_test_rmse,state
49,802.7003276018597,2025-04-03 19:46:41.267392,2025-04-03 19:47:03.407070,0 days 00:00:22.139678,1e-06,16,0.39413159983174145,24,7,4,5e-05,2,12,0.0005,802.7003276018597,0.5705943069495787,102.0,1604.756591796875,102.0,102.0,0.5705943069495787,1604.756591796875,19661,0.4692517429394232,1835.0107421875,COMPLETE
50,508.24774290917753,2025-04-03 19:47:03.410737,2025-04-03 19:47:24.929526,0 days 00:00:21.518789,1e-05,16,0.37732720011168286,24,5,4,0.0005,2,12,0.0,508.24774290917753,0.8512980525162055,96.0,1015.9971923828125,96.0,102.0,0.8473146402939371,1018.3136596679688,17355,0.8698014902782435,1083.000732421875,COMPLETE
51,478.21730279129594,2025-04-03 19:47:24.930832,2025-04-03 19:47:46.796256,0 days 00:00:21.865424,0.0001,16,0.41159546137824643,24,7,4,0.0005,2,12,0.0,478.21730279129594,0.865228783206302,66.0,955.9378051757812,74.0,102.0,0.833274493149089,1054.984130859375,19661,0.8860022181258556,1070.073486328125,COMPLETE
52,479.64407032843525,2025-04-03 19:47:46.797480,2025-04-03 19:48:10.323750,0 days 00:00:23.526270,0.0001,16,0.32496392608216756,24,7,4,0.0005,2,12,0.0,479.64407032843525,0.8638842344408726,64.0,958.7906494140625,57.0,101.0,0.8418982083243549,1025.9580078125,19661,0.897329447421468,1090.848388671875,COMPLETE
53,475.3651520351149,2025-04-03 19:48:10.325024,2025-04-03 19:48:31.367427,0 days 00:00:21.042403,0.0001,16,0.42209492153024175,24,7,4,0.0005,2,12,0.0,475.3651520351149,0.8667409098665588,59.0,950.2343139648438,59.0,102.0,0.8336536835578926,1051.6900634765625,19661,0.8926483372765973,1074.3621826171875,COMPLETE
54,475.36060562759036,2025-04-03 19:48:31.368699,2025-04-03 19:48:52.116785,0 days 00:00:20.748086,0.0001,16,0.4268768759140255,24,7,4,0.0005,2,12,0.0001,475.36060562759036,0.8669587325733026,65.0,950.2250366210938,57.0,102.0,0.8413947685327231,1026.6361083984375,19661,0.8944192776984953,1080.9786376953125,COMPLETE
55,509.9975032216592,2025-04-03 19:48:52.118073,2025-04-03 19:49:28.223274,0 days 00:00:36.105201,0.0001,16,0.4267740985968249,24,3,6,0.001,3,8,0.0001,509.9975032216592,0.844025962172055,95.0,1019.4873046875,90.0,101.0,0.8263475656572714,1075.4754638671875,19724,0.8885149122208233,1126.148193359375,COMPLETE
56,481.31801987841516,2025-04-03 19:49:28.224599,2025-04-03 19:49:52.167524,0 days 00:00:23.942925,0.0001,16,0.39900189614603093,24,7,4,0.0005,2,12,0.0001,481.31801987841516,0.8635301814916954,99.0,962.1383666992188,90.0,102.0,0.8306358212830041,1063.1705322265625,19661,0.8848510875960771,1061.4632568359375,COMPLETE
57,,2025-04-03 19:49:52.168800,2025-04-03 19:49:52.231109,0 days 00:00:00.062309,0.0001,8,0.4225372704068938,96,7,16,0.0005,2,12,0.0001,,,,,,,,,247721,,,PRUNED
58,518.6705387550132,2025-04-03 19:49:52.231610,2025-04-03 19:51:06.372766,0 days 00:01:14.141156,0.0,16,0.2859294431101441,32,5,4,0.0005,5,12,0.0001,518.6705387550132,0.8396840527769184,83.0,1036.795654296875,83.0,101.0,0.820014893251235,1091.4656982421875,44942,0.8830669397134498,1081.1591796875,COMPLETE
59,,2025-04-03 19:51:06.374463,2025-04-03 19:51:06.453239,0 days 00:00:00.078776,0.0001,4,0.37656377558142423,48,7,4,0.0001,2,12,0.0001,,,,,,,,,58765,,,PRUNED
60,486.4949916116966,2025-04-03 19:51:06.453790,2025-04-03 19:51:41.674692,0 days 00:00:35.220902,0.0001,16,0.3848065313873091,24,7,4,0.0005,3,8,0.0,486.4949916116966,0.8603058783050448,95.0,972.4817504882812,62.0,101.0,0.8500469361079146,1002.6671142578125,23766,0.8834622106499839,1090.291748046875,COMPLETE
61,477.1432987728857,2025-04-03 19:51:41.678141,2025-04-03 19:52:04.402176,0 days 00:00:22.724035,0.0001,16,0.416203809833532,24,7,4,0.0005,2,12,0.0,477.1432987728857,0.8671910681582011,65.0,953.7908325195312,65.0,102.0,0.8324698571597522,1056.9647216796875,19661,0.8896084714398228,1045.8184814453125,COMPLETE
62,479.18605447777327,2025-04-03 19:52:04.403472,2025-04-03 19:52:26.226998,0 days 00:00:21.823526,0.0001,16,0.4405299854344753,24,7,4,0.0005,2,12,0.0,479.18605447777327,0.8651428389523347,66.0,957.8750610351562,70.0,102.0,0.8465555244996144,1011.3989868164062,19661,0.8857748387096034,1063.776123046875,COMPLETE
63,478.0193792851862,2025-04-03 19:52:26.228762,2025-04-03 19:52:46.626826,0 days 00:00:20.398064,0.0001,16,0.42126807177532943,24,7,4,0.0005,2,12,0.0,478.0193792851862,0.8663316537033507,66.0,955.5422973632812,65.0,102.0,0.8346156556255302,1049.9503173828125,19661,0.8918869334228844,1045.3779296875,COMPLETE
64,475.7615912971779,2025-04-03 19:52:46.628286,2025-04-03 19:53:08.160283,0 days 00:00:21.531997,0.0001,16,0.3315449677273316,24,7,4,0.0005,2,12,0.0,475.7615912971779,0.8657006584894388,57.0,951.0266723632812,57.0,101.0,0.8510172486695418,997.0713500976562,19661,0.895115036320366,1073.330810546875,COMPLETE
65,,2025-04-03 19:53:08.161616,2025-04-03 19:53:08.260369,0 days 00:00:00.098753,0.0001,16,0.3252353490910734,64,7,6,0.0005,2,24,0.0,,,,,,,,,110007,,,PRUNED
66,485.8033968268348,2025-04-03 19:53:08.260865,2025-04-03 19:53:30.192156,0 days 00:00:21.931291,0.0001,8,0.3113403983087561,24,7,16,0.0005,2,32,0.001,485.8033968268348,0.8602444007067092,57.0,971.0799560546875,46.0,102.0,0.8565810633545508,990.7911376953125,36905,0.8877488667560286,1061.3426513671875,COMPLETE
67,508.4748124708484,2025-04-03 19:53:30.193447,2025-04-03 19:53:50.632645,0 days 00:00:20.439198,0.0001,16,0.33530324485242413,24,7,12,0.0005,2,12,1e-05,508.4748124708484,0.8472216115273641,78.0,1016.423095703125,57.0,101.0,0.8439187417593946,1024.7386474609375,31157,0.8796904048721277,1091.5478515625,COMPLETE
68,,2025-04-03 19:53:50.633979,2025-04-03 19:53:50.703049,0 days 00:00:00.069070,0.0001,4,0.2888960147230371,96,9,4,0.0005,2,16,0.0,,,,,,,,,252879,,,PRUNED
69,,2025-04-03 19:53:50.703546,2025-04-03 19:53:50.766122,0 days 00:00:00.062576,0.0,16,0.4005911621993137,48,7,4,5e-05,3,12,0.0001,,,,,,,,,79550,,,PRUNED
70,487.36008726139534,2025-04-03 19:53:50.766601,2025-04-03 19:54:13.572343,0 days 00:00:22.805742,1e-06,16,0.46587970284605423,24,5,4,0.0005,2,12,0.0,487.36008726139534,0.8582194717701069,83.0,974.225341796875,83.0,102.0,0.8445094171396657,1034.5137939453125,17355,0.8895700467779287,1078.9915771484375,COMPLETE
71,480.24052081305757,2025-04-03 19:54:13.573643,2025-04-03 19:54:36.169993,0 days 00:00:22.596350,0.0001,16,0.3529833718005566,24,7,4,0.0005,2,12,0.0,480.24052081305757,0.8637623737999036,80.0,959.9834594726562,57.0,101.0,0.835761009239479,1047.6517333984375,19661,0.8906523441020197,1102.760986328125,COMPLETE
72,479.57975421800603,2025-04-03 19:54:36.171721,2025-04-03 19:54:58.500120,0 days 00:00:22.328399,0.0001,16,0.4307468048012485,24,7,4,0.0005,2,12,0.0,479.57975421800603,0.865364490563133,66.0,958.6625366210938,70.0,102.0,0.8473166601775033,1008.4529418945312,19661,0.8848659345007108,1061.21044921875,COMPLETE
73,480.6350786157397,2025-04-03 19:54:58.501478,2025-04-03 19:55:19.966888,0 days 00:00:21.465410,1e-05,16,0.38834708465536427,24,7,4,0.0005,2,12,0.0,480.6350786157397,0.8644934421680439,66.0,960.7723999023438,65.0,101.0,0.842741910690985,1023.2601318359375,19661,0.8948575482491473,1043.407958984375,COMPLETE
74,499.7126740009241,2025-04-03 19:55:19.968407,2025-04-03 19:55:46.744592,0 days 00:00:26.776185,1e-06,16,0.4181951217994388,32,7,4,0.0005,2,16,0.0,499.7126740009241,0.8522480356953794,59.0,998.8982543945312,85.0,101.0,0.8462178580784551,1011.1159057617188,33389,0.889069946675789,1089.744384765625,COMPLETE
75,476.56442555509,2025-04-03 19:55:46.745884,2025-04-03 19:56:59.433119,0 days 00:01:12.687235,0.0001,16,0.43909301050350125,24,7,4,0.0005,6,12,0.0,476.56442555509,0.8664053877811184,66.0,952.6060791015625,54.0,101.0,0.8593330777818325,972.3756713867188,36081,0.8929733981127503,1065.1663818359375,COMPLETE
76,501.72354895595106,2025-04-03 19:56:59.434409,2025-04-03 19:58:15.735221,0 days 00:01:16.300812,0.0001,16,0.44013448782191883,24,3,6,0.001,6,24,0.0,501.72354895595106,0.8527002764544248,99.0,1002.9320678710938,76.0,101.0,0.8482408193865004,1006.3414306640625,25127,0.8830247297433369,1092.4744873046875,COMPLETE
77,,2025-04-03 19:58:15.746438,2025-04-03 19:58:15.811505,0 days 00:00:00.065067,0.0001,16,0.452592723101202,64,7,4,0.0005,6,12,0.0005,,,,,,,,,219889,,,PRUNED
78,662.0763327641358,2025-04-03 19:58:15.812013,2025-04-03 19:59:03.438678,0 days 00:00:47.626665,0.0001,8,0.48618283822757646,24,7,12,0.0001,4,32,0.0,662.0763327641358,0.7228262668765326,102.0,1323.5545654296875,102.0,103.0,0.704594412529563,1366.7734375,39367,0.6790732200139986,1551.79736328125,COMPLETE
79,481.65745506015264,2025-04-03 19:59:03.440009,2025-04-03 20:02:36.955165,0 days 00:03:33.515156,0.0001,4,0.4606433586144858,24,7,4,0.0005,5,12,0.0,481.65745506015264,0.8632451983715286,83.0,962.7979125976562,51.0,101.0,0.859319386375021,985.3953857421875,30472,0.8896739656923884,1051.0908203125,COMPLETE
80,495.8844087194359,2025-04-03 20:02:36.956859,2025-04-03 20:04:25.681036,0 days 00:01:48.724177,0.0,16,0.366257905556141,24,7,16,0.0005,3,8,0.0,495.8844087194359,0.8560611690520443,82.0,991.234619140625,87.0,101.0,0.8430481950357542,1030.8775634765625,41010,0.8704051141628043,1097.744384765625,COMPLETE
81,476.5727707604277,2025-04-03 20:04:25.682366,2025-04-03 20:05:17.337899,0 days 00:00:51.655533,0.001,16,0.40360658632094315,24,7,4,0.0005,2,12,0.0,476.5727707604277,0.8658558523652422,58.0,952.6491088867188,58.0,102.0,0.8395542765277626,1032.845947265625,19661,0.8927665198728361,1057.3331298828125,COMPLETE
82,475.1911911451942,2025-04-03 20:05:17.340502,2025-04-03 20:06:04.505277,0 days 00:00:47.164775,0.001,16,0.4034253350809688,24,7,4,0.0005,2,12,0.0,475.1911911451942,0.8664174773619023,57.0,949.88623046875,57.0,102.0,0.8388332118191284,1037.2557373046875,19661,0.8978467341123512,1082.226806640625,COMPLETE
83,478.4624425749649,2025-04-03 20:06:04.506549,2025-04-03 20:06:52.939190,0 days 00:00:48.432641,0.001,16,0.40393202558373675,24,7,4,0.0005,2,12,0.0,478.4624425749649,0.8655308576878862,90.0,956.427490234375,98.0,101.0,0.8402028338340488,1032.809814453125,19661,0.8869333563226185,1076.978271484375,COMPLETE
84,479.8619788079552,2025-04-03 20:06:52.940433,2025-04-03 20:07:41.402252,0 days 00:00:48.461819,0.001,16,0.4368594549306819,24,7,4,0.0005,2,16,0.0,479.8619788079552,0.8652675025423633,67.0,959.2260131835938,66.0,102.0,0.8408881063033293,1028.8682861328125,19661,0.8958891399527538,1066.3367919921875,COMPLETE
85,476.63230912018815,2025-04-03 20:07:41.405915,2025-04-03 20:08:35.278094,0 days 00:00:53.872179,0.001,16,0.4294627699406299,24,7,4,0.0005,2,12,1e-05,476.63230912018815,0.8661057336359603,65.0,952.768310546875,65.0,102.0,0.8420474119575776,1024.4835205078125,19661,0.8924827890368764,1049.23046875,COMPLETE
86,481.1705615791158,2025-04-03 20:08:35.281942,2025-04-03 20:09:20.455746,0 days 00:00:45.173804,0.001,16,0.4258290647633402,24,7,4,0.0005,2,12,1e-05,481.1705615791158,0.8638246117030512,66.0,961.8432006835938,74.0,102.0,0.8333770107751719,1062.3321533203125,19661,0.8888889512932951,1073.4659423828125,COMPLETE
87,,2025-04-03 20:09:20.457035,2025-04-03 20:09:20.518483,0 days 00:00:00.061448,0.001,16,0.44613426065906114,96,9,4,5e-05,5,12,1e-05,,,,,,,,,507090,,,PRUNED
88,,2025-04-03 20:09:20.518969,2025-04-03 20:09:20.582855,0 days 00:00:00.063886,0.001,16,0.33570746557901376,48,7,4,0.0005,4,12,1e-05,,,,,,,,,95823,,,PRUNED
89,479.2486217257361,2025-04-03 20:09:20.583271,2025-04-03 20:10:40.440875,0 days 00:01:19.857604,1e-06,16,0.3927019725462704,24,7,4,0.0005,6,16,1e-05,479.2486217257361,0.8653969765530962,66.0,957.9734497070312,70.0,106.0,0.8596568919632643,976.710205078125,36081,0.8921165887257141,1061.8865966796875,COMPLETE
90,518.9980876426474,2025-04-03 20:10:40.442347,2025-04-03 20:11:01.729763,0 days 00:00:21.287416,0.001,16,0.4717117286433856,24,3,4,0.001,2,12,0.001,518.9980876426474,0.8468130672244644,92.0,1037.5018310546875,92.0,101.0,0.8271181644141724,1067.4576416015625,15049,0.885341975470493,1040.4764404296875,COMPLETE
91,476.1405348699448,2025-04-03 20:11:01.731231,2025-04-03 20:11:26.097855,0 days 00:00:24.366624,0.001,16,0.40624486436516327,24,7,4,0.0005,2,12,0.0,476.1405348699448,0.8661768223684083,65.0,951.78466796875,58.0,102.0,0.8389471355083971,1035.177490234375,19661,0.8924006699097868,1062.763671875,COMPLETE
92,478.9251118706054,2025-04-03 20:11:26.099462,2025-04-03 20:12:08.112314,0 days 00:00:42.012852,0.001,16,0.42963327371578497,24,7,4,0.0005,2,12,0.0001,478.9251118706054,0.8645484269571616,92.0,957.35302734375,90.0,102.0,0.8382269313985751,1036.9539794921875,19661,0.8883363528425878,1060.628662109375,COMPLETE
93,477.96921905817715,2025-04-03 20:12:08.115689,2025-04-03 20:12:57.815135,0 days 00:00:49.699446,0.001,16,0.4508152255680865,24,7,4,0.0005,2,12,0.0,477.96921905817715,0.8657039488338085,67.0,955.4413452148438,66.0,102.0,0.8417351743525779,1025.7388916015625,19661,0.8911078085710582,1057.02685546875,COMPLETE
94,497.32011796682593,2025-04-03 20:12:57.816607,2025-04-03 20:14:01.697894,0 days 00:01:03.881287,0.001,16,0.40928753651376076,32,7,4,0.0005,2,12,0.0,497.32011796682593,0.852520299498675,56.0,994.1141357421875,56.0,101.0,0.8452076055644929,1015.3672485351562,33389,0.8843904647560696,1075.6363525390625,COMPLETE
95,475.32959287065256,2025-04-03 20:14:01.699724,2025-04-03 20:14:51.605587,0 days 00:00:49.905863,1e-05,16,0.3597085490870847,24,7,4,0.0005,2,12,1e-05,475.32959287065256,0.86615530209081,58.0,950.1629028320312,58.0,101.0,0.8374109075273541,1042.484130859375,19661,0.8948794347257627,1057.2977294921875,COMPLETE
96,522.2940777173621,2025-04-03 20:14:51.606943,2025-04-03 20:15:44.711189,0 days 00:00:53.104246,1e-05,16,0.3734181971850593,24,5,12,0.0005,2,12,0.0005,522.2940777173621,0.8362737800422066,98.0,1044.059814453125,84.0,107.0,0.8352932092607595,1050.4642333984375,28851,0.8583687378940779,1171.739990234375,COMPLETE
97,481.43093814629475,2025-04-03 20:15:44.712490,2025-04-03 20:16:34.625523,0 days 00:00:49.913033,1e-05,16,0.3572972449870389,24,7,4,0.0005,2,24,0.0,481.43093814629475,0.8636896471462582,83.0,962.3642578125,90.0,101.0,0.8458657841941488,1013.745849609375,19661,0.8845316575141826,1058.2586669921875,COMPLETE
98,651.2224730039227,2025-04-03 20:16:34.626843,2025-04-03 20:17:32.052935,0 days 00:00:57.426092,1e-05,8,0.3835469239871395,24,7,6,0.0001,2,12,0.0,651.2224730039227,0.7453852360943667,101.0,1301.8800048828125,89.0,102.0,0.7375212486893359,1329.838623046875,22535,0.6924223895488006,1550.259765625,COMPLETE
99,,2025-04-03 20:17:32.054377,2025-04-03 20:17:32.145094,0 days 00:00:00.090717,1e-05,16,0.3468021992866397,64,7,4,0.0005,2,8,0.0001,,,,,,,,,104429,,,PRUNED
